Frequent Itemsets:
 support                                                                                      itemsets
0.070397                                                               (Month_Dec, OperatingSystems_2)
0.088240                                                                        (Browser_2, Month_Dec)
0.050770                                                                         (Month_Dec, Region_1)
0.063504                                                                    (Month_Dec, TrafficType_2)
0.107867                                                    (VisitorType_Returning_Visitor, Month_Dec)
0.086780                                                               (Month_Mar, OperatingSystems_2)
0.099432                                                                        (Month_Mar, Browser_2)
0.063098                                                                         (Month_Mar, Region_1)
0.053285                                                                    (Month_Mar, TrafficType_1)
0.135848                                                    (Month_Mar, VisitorType_Returning_Visitor)
0.050203                                                               (Month_May, OperatingSystems_1)
0.153771                                                               (Month_May, OperatingSystems_2)
0.057340                                                               (Month_May, OperatingSystems_3)
0.177616                                                                        (Browser_2, Month_May)
0.099513                                                                         (Region_1, Month_May)
0.054258                                                                         (Region_3, Month_May)
0.057502                                                                    (Month_May, TrafficType_2)
0.059367                                                                    (Month_May, TrafficType_3)
0.057178                                                                    (Month_May, TrafficType_4)
0.246959                                                    (VisitorType_Returning_Visitor, Month_May)
0.055150                                                               (Month_Nov, OperatingSystems_1)
0.124736                                                               (Month_Nov, OperatingSystems_2)
0.051500                                                               (Month_Nov, OperatingSystems_3)
0.162612                                                                        (Month_Nov, Browser_2)
0.104461                                                                         (Month_Nov, Region_1)
0.100730                                                                    (Month_Nov, TrafficType_2)
0.207380                                                    (VisitorType_Returning_Visitor, Month_Nov)
0.174615                                                               (Browser_1, OperatingSystems_1)
0.086456                                                                (Region_1, OperatingSystems_1)
0.074371                                                           (OperatingSystems_1, TrafficType_2)
0.175669                                           (VisitorType_Returning_Visitor, OperatingSystems_1)
0.410300                                                               (Browser_2, OperatingSystems_2)
0.059367                                                               (Browser_4, OperatingSystems_2)
0.203569                                                                (Region_1, OperatingSystems_2)
0.052393                                                                (OperatingSystems_2, Region_2)
0.098783                                                                (Region_3, OperatingSystems_2)
0.121492                                                           (OperatingSystems_2, TrafficType_1)
0.181265                                                           (OperatingSystems_2, TrafficType_2)
0.077372                                                           (TrafficType_3, OperatingSystems_2)
0.075912                                                 (VisitorType_New_Visitor, OperatingSystems_2)
0.458151                                           (VisitorType_Returning_Visitor, OperatingSystems_2)
0.195945                                                               (Browser_2, OperatingSystems_3)
0.077940                                                                (Region_1, OperatingSystems_3)
0.184509                                           (VisitorType_Returning_Visitor, OperatingSystems_3)
0.084753                                                                         (Browser_1, Region_1)
0.069586                                                                    (Browser_1, TrafficType_2)
0.051419                                                                    (Browser_1, TrafficType_3)
0.168289                                                    (VisitorType_Returning_Visitor, Browser_1)
0.247770                                                                         (Browser_2, Region_1)
0.060178                                                                         (Browser_2, Region_2)
0.122141                                                                         (Region_3, Browser_2)
0.061152                                                                         (Browser_2, Region_4)
0.131306                                                                    (Browser_2, TrafficType_1)
0.206488                                                                    (Browser_2, TrafficType_2)
0.087186                                                                    (Browser_2, TrafficType_3)
0.055231                                                                    (Browser_2, TrafficType_4)
0.058719                                                                   (Browser_2, TrafficType_13)
0.084185                                                          (VisitorType_New_Visitor, Browser_2)
0.559773                                                    (VisitorType_Returning_Visitor, Browser_2)
0.070965                                                                     (Region_1, TrafficType_1)
0.125142                                                                     (Region_1, TrafficType_2)
0.071452                                                                     (Region_1, TrafficType_3)
0.053285                                                           (VisitorType_New_Visitor, Region_1)
0.333739                                                     (VisitorType_Returning_Visitor, Region_1)
0.079643                                                     (VisitorType_Returning_Visitor, Region_2)
0.063098                                                                     (Region_3, TrafficType_2)
0.168938                                                     (Region_3, VisitorType_Returning_Visitor)
0.084185                                                     (VisitorType_Returning_Visitor, Region_4)
0.055393                                                     (VisitorType_Returning_Visitor, Region_6)
0.053447                                                     (VisitorType_Returning_Visitor, Region_7)
0.195215                                                (VisitorType_Returning_Visitor, TrafficType_1)
0.075912                                                      (VisitorType_New_Visitor, TrafficType_2)
0.240552                                                (VisitorType_Returning_Visitor, TrafficType_2)
0.154501                                                (VisitorType_Returning_Visitor, TrafficType_3)
0.078670                                                (VisitorType_Returning_Visitor, TrafficType_4)
0.059286                                               (VisitorType_Returning_Visitor, TrafficType_13)
0.064152                                                          (SpecialDay_0.0, Month_Nov, Weekend)
0.056529                                                 (SpecialDay_0.0, Weekend, OperatingSystems_1)
0.094809                                                 (SpecialDay_0.0, Weekend, OperatingSystems_2)
0.057178                                                 (SpecialDay_0.0, Weekend, OperatingSystems_3)
0.054015                                                          (SpecialDay_0.0, Weekend, Browser_1)
0.136415                                                          (SpecialDay_0.0, Browser_2, Weekend)
0.082968                                                           (SpecialDay_0.0, Weekend, Region_1)
0.078427                                                      (SpecialDay_0.0, Weekend, TrafficType_2)
0.180860                                      (SpecialDay_0.0, VisitorType_Returning_Visitor, Weekend)
0.051095                                           (VisitorType_Returning_Visitor, Weekend, Month_May)
0.053690                                           (VisitorType_Returning_Visitor, Month_Nov, Weekend)
0.050284                                  (VisitorType_Returning_Visitor, Weekend, OperatingSystems_1)
0.076805                                                      (Browser_2, Weekend, OperatingSystems_2)
0.080779                                  (VisitorType_Returning_Visitor, Weekend, OperatingSystems_2)
0.057745                                                      (Browser_2, Weekend, OperatingSystems_3)
0.052717                                  (VisitorType_Returning_Visitor, Weekend, OperatingSystems_3)
0.053204                                                                (Browser_2, Weekend, Region_1)
0.051582                                                           (Browser_2, Weekend, TrafficType_2)
0.119708                                           (VisitorType_Returning_Visitor, Browser_2, Weekend)
0.072668                                            (VisitorType_Returning_Visitor, Weekend, Region_1)
0.058881                                       (VisitorType_Returning_Visitor, Weekend, TrafficType_2)
0.070397                                               (SpecialDay_0.0, Month_Dec, OperatingSystems_2)
0.088240                                                        (SpecialDay_0.0, Browser_2, Month_Dec)
0.050770                                                         (SpecialDay_0.0, Month_Dec, Region_1)
0.063504                                                    (SpecialDay_0.0, Month_Dec, TrafficType_2)
0.107867                                    (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_Dec)
0.086780                                               (SpecialDay_0.0, Month_Mar, OperatingSystems_2)
0.099432                                                        (SpecialDay_0.0, Month_Mar, Browser_2)
0.063098                                                         (SpecialDay_0.0, Month_Mar, Region_1)
0.053285                                                    (SpecialDay_0.0, Month_Mar, TrafficType_1)
0.135848                                    (SpecialDay_0.0, Month_Mar, VisitorType_Returning_Visitor)
0.099513                                               (SpecialDay_0.0, Month_May, OperatingSystems_2)
0.112490                                                        (SpecialDay_0.0, Browser_2, Month_May)
0.062287                                                         (SpecialDay_0.0, Region_1, Month_May)
0.156610                                    (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_May)
0.055150                                               (SpecialDay_0.0, Month_Nov, OperatingSystems_1)
0.124736                                               (SpecialDay_0.0, Month_Nov, OperatingSystems_2)
0.051500                                               (SpecialDay_0.0, Month_Nov, OperatingSystems_3)
0.162612                                                        (SpecialDay_0.0, Month_Nov, Browser_2)
0.104461                                                         (SpecialDay_0.0, Month_Nov, Region_1)
0.100730                                                    (SpecialDay_0.0, Month_Nov, TrafficType_2)
0.207380                                    (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_Nov)
0.159692                                               (SpecialDay_0.0, Browser_1, OperatingSystems_1)
0.078913                                                (SpecialDay_0.0, Region_1, OperatingSystems_1)
0.070479                                           (SpecialDay_0.0, OperatingSystems_1, TrafficType_2)
0.159448                           (SpecialDay_0.0, VisitorType_Returning_Visitor, OperatingSystems_1)
0.366910                                               (SpecialDay_0.0, Browser_2, OperatingSystems_2)
0.053609                                               (SpecialDay_0.0, Browser_4, OperatingSystems_2)
0.181914                                                (SpecialDay_0.0, Region_1, OperatingSystems_2)
0.088159                                                (Region_3, SpecialDay_0.0, OperatingSystems_2)
0.113058                                           (SpecialDay_0.0, OperatingSystems_2, TrafficType_1)
0.170803                                           (SpecialDay_0.0, OperatingSystems_2, TrafficType_2)
0.063747                                           (SpecialDay_0.0, TrafficType_3, OperatingSystems_2)
0.072993                                 (SpecialDay_0.0, VisitorType_New_Visitor, OperatingSystems_2)
0.403812                           (SpecialDay_0.0, VisitorType_Returning_Visitor, OperatingSystems_2)
0.173885                                               (SpecialDay_0.0, Browser_2, OperatingSystems_3)
0.068694                                                (SpecialDay_0.0, Region_1, OperatingSystems_3)
0.161638                           (SpecialDay_0.0, VisitorType_Returning_Visitor, OperatingSystems_3)
0.077129                                                         (SpecialDay_0.0, Browser_1, Region_1)
0.065693                                                    (SpecialDay_0.0, Browser_1, TrafficType_2)
0.151987                                    (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_1)
0.222303                                                         (SpecialDay_0.0, Browser_2, Region_1)
0.053204                                                         (SpecialDay_0.0, Browser_2, Region_2)
0.108110                                                         (Region_3, Browser_2, SpecialDay_0.0)
0.054339                                                         (SpecialDay_0.0, Browser_2, Region_4)
0.122547                                                    (SpecialDay_0.0, Browser_2, TrafficType_1)
0.195783                                                    (SpecialDay_0.0, Browser_2, TrafficType_2)
0.073074                                                    (SpecialDay_0.0, Browser_2, TrafficType_3)
0.081427                                          (SpecialDay_0.0, VisitorType_New_Visitor, Browser_2)
0.494566                                    (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2)
0.066748                                                     (SpecialDay_0.0, Region_1, TrafficType_1)
0.118735                                                     (SpecialDay_0.0, Region_1, TrafficType_2)
0.059448                                                     (SpecialDay_0.0, TrafficType_3, Region_1)
0.051663                                           (SpecialDay_0.0, VisitorType_New_Visitor, Region_1)
0.295296                                     (SpecialDay_0.0, VisitorType_Returning_Visitor, Region_1)
0.070235                                     (SpecialDay_0.0, VisitorType_Returning_Visitor, Region_2)
0.058475                                                     (Region_3, SpecialDay_0.0, TrafficType_2)
0.149148                                     (Region_3, VisitorType_Returning_Visitor, SpecialDay_0.0)
0.075101                                     (SpecialDay_0.0, VisitorType_Returning_Visitor, Region_4)
0.182157                                (SpecialDay_0.0, VisitorType_Returning_Visitor, TrafficType_1)
0.073804                                      (SpecialDay_0.0, VisitorType_New_Visitor, TrafficType_2)
0.224980                                (SpecialDay_0.0, VisitorType_Returning_Visitor, TrafficType_2)
0.128548                                (SpecialDay_0.0, VisitorType_Returning_Visitor, TrafficType_3)
0.061638                                (SpecialDay_0.0, VisitorType_Returning_Visitor, TrafficType_4)
0.056285                                                    (Browser_2, Month_Dec, OperatingSystems_2)
0.055880                                (VisitorType_Returning_Visitor, Month_Dec, OperatingSystems_2)
0.070479                                         (VisitorType_Returning_Visitor, Browser_2, Month_Dec)
0.064882                                                    (Month_Mar, Browser_2, OperatingSystems_2)
0.076642                                (Month_Mar, VisitorType_Returning_Visitor, OperatingSystems_2)
0.086537                                         (Month_Mar, Browser_2, VisitorType_Returning_Visitor)
0.054663                                          (Month_Mar, VisitorType_Returning_Visitor, Region_1)
0.052960                                     (Month_Mar, VisitorType_Returning_Visitor, TrafficType_1)
0.114842                                                    (Browser_2, Month_May, OperatingSystems_2)
0.054096                                                     (Region_1, Month_May, OperatingSystems_2)
0.138686                                (VisitorType_Returning_Visitor, Month_May, OperatingSystems_2)
0.053771                                                    (Browser_2, Month_May, OperatingSystems_3)
0.053041                                (VisitorType_Returning_Visitor, Month_May, OperatingSystems_3)
0.062287                                                              (Region_1, Browser_2, Month_May)
0.162287                                         (VisitorType_Returning_Visitor, Browser_2, Month_May)
0.089781                                          (Region_1, VisitorType_Returning_Visitor, Month_May)
0.055150                                     (VisitorType_Returning_Visitor, Month_May, TrafficType_3)
0.052311                                     (VisitorType_Returning_Visitor, Month_May, TrafficType_4)
0.099919                                                    (Month_Nov, Browser_2, OperatingSystems_2)
0.054096                                                     (Month_Nov, Region_1, OperatingSystems_2)
0.056934                                                (Month_Nov, OperatingSystems_2, TrafficType_2)
0.106569                                (VisitorType_Returning_Visitor, Month_Nov, OperatingSystems_2)
0.071208                                                              (Month_Nov, Browser_2, Region_1)
0.068451                                                         (Month_Nov, Browser_2, TrafficType_2)
0.141444                                         (VisitorType_Returning_Visitor, Browser_2, Month_Nov)
0.090349                                          (VisitorType_Returning_Visitor, Month_Nov, Region_1)
0.079805                                     (VisitorType_Returning_Visitor, Month_Nov, TrafficType_2)
0.072912                                                     (Browser_1, Region_1, OperatingSystems_1)
0.062693                                                (Browser_1, OperatingSystems_1, TrafficType_2)
0.146472                                (VisitorType_Returning_Visitor, Browser_1, OperatingSystems_1)
0.072182                                 (VisitorType_Returning_Visitor, Region_1, OperatingSystems_1)
0.057340                            (VisitorType_Returning_Visitor, OperatingSystems_1, TrafficType_2)
0.157178                                                     (Browser_2, Region_1, OperatingSystems_2)
0.073885                                                     (Region_3, Browser_2, OperatingSystems_2)
0.090024                                                (Browser_2, OperatingSystems_2, TrafficType_1)
0.143633                                                (Browser_2, OperatingSystems_2, TrafficType_2)
0.052879                                                (Browser_2, TrafficType_3, OperatingSystems_2)
0.057908                                      (VisitorType_New_Visitor, Browser_2, OperatingSystems_2)
0.351582                                (VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2)
0.070884                                                 (Region_1, OperatingSystems_2, TrafficType_2)
0.174777                                 (VisitorType_Returning_Visitor, Region_1, OperatingSystems_2)
0.085483                                 (Region_3, VisitorType_Returning_Visitor, OperatingSystems_2)
0.119546                            (VisitorType_Returning_Visitor, OperatingSystems_2, TrafficType_1)
0.135280                            (VisitorType_Returning_Visitor, OperatingSystems_2, TrafficType_2)
0.071533                            (VisitorType_Returning_Visitor, TrafficType_3, OperatingSystems_2)
0.073560                                                     (Browser_2, Region_1, OperatingSystems_3)
0.175345                                (VisitorType_Returning_Visitor, Browser_2, OperatingSystems_3)
0.070479                                 (VisitorType_Returning_Visitor, Region_1, OperatingSystems_3)
0.070884                                          (VisitorType_Returning_Visitor, Browser_1, Region_1)
0.053041                                     (VisitorType_Returning_Visitor, Browser_1, TrafficType_2)
0.081752                                                          (Browser_2, Region_1, TrafficType_2)
0.216464                                          (VisitorType_Returning_Visitor, Browser_2, Region_1)
0.053041                                          (VisitorType_Returning_Visitor, Browser_2, Region_2)
0.107218                                          (Region_3, VisitorType_Returning_Visitor, Browser_2)
0.054096                                          (VisitorType_Returning_Visitor, Browser_2, Region_4)
0.128873                                     (VisitorType_Returning_Visitor, Browser_2, TrafficType_1)
0.156367                                     (VisitorType_Returning_Visitor, Browser_2, TrafficType_2)
0.081427                                     (VisitorType_Returning_Visitor, Browser_2, TrafficType_3)
0.050446                                     (VisitorType_Returning_Visitor, Browser_2, TrafficType_4)
0.058151                                    (VisitorType_Returning_Visitor, Browser_2, TrafficType_13)
0.069992                                      (VisitorType_Returning_Visitor, Region_1, TrafficType_1)
0.097405                                      (VisitorType_Returning_Visitor, Region_1, TrafficType_2)
0.066342                                      (Region_1, VisitorType_Returning_Visitor, TrafficType_3)
0.053690                           (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_Nov, Weekend)
0.072263                                      (SpecialDay_0.0, Browser_2, Weekend, OperatingSystems_2)
0.075507                  (SpecialDay_0.0, VisitorType_Returning_Visitor, Weekend, OperatingSystems_2)
0.054177                                      (SpecialDay_0.0, Browser_2, Weekend, OperatingSystems_3)
0.050689                                                (SpecialDay_0.0, Browser_2, Weekend, Region_1)
0.111679                           (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, Weekend)
0.068694                            (SpecialDay_0.0, VisitorType_Returning_Visitor, Weekend, Region_1)
0.056285                       (SpecialDay_0.0, VisitorType_Returning_Visitor, Weekend, TrafficType_2)
0.061719                       (VisitorType_Returning_Visitor, Browser_2, Weekend, OperatingSystems_2)
0.056285                                    (SpecialDay_0.0, Browser_2, Month_Dec, OperatingSystems_2)
0.055880                (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_Dec, OperatingSystems_2)
0.070479                         (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, Month_Dec)
0.064882                                    (SpecialDay_0.0, Month_Mar, Browser_2, OperatingSystems_2)
0.076642                (SpecialDay_0.0, Month_Mar, VisitorType_Returning_Visitor, OperatingSystems_2)
0.086537                         (SpecialDay_0.0, Month_Mar, Browser_2, VisitorType_Returning_Visitor)
0.054663                          (SpecialDay_0.0, Month_Mar, VisitorType_Returning_Visitor, Region_1)
0.052960                     (SpecialDay_0.0, Month_Mar, VisitorType_Returning_Visitor, TrafficType_1)
0.073398                                    (SpecialDay_0.0, Browser_2, Month_May, OperatingSystems_2)
0.087348                (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_May, OperatingSystems_2)
0.099919                         (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, Month_May)
0.054177                          (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_May, Region_1)
0.099919                                    (SpecialDay_0.0, Month_Nov, Browser_2, OperatingSystems_2)
0.054096                                     (SpecialDay_0.0, Month_Nov, Region_1, OperatingSystems_2)
0.056934                                (SpecialDay_0.0, Month_Nov, OperatingSystems_2, TrafficType_2)
0.106569                (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_Nov, OperatingSystems_2)
0.071208                                              (SpecialDay_0.0, Month_Nov, Browser_2, Region_1)
0.068451                                         (SpecialDay_0.0, Month_Nov, Browser_2, TrafficType_2)
0.141444                         (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, Month_Nov)
0.090349                          (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_Nov, Region_1)
0.079805                     (SpecialDay_0.0, VisitorType_Returning_Visitor, Month_Nov, TrafficType_2)
0.066180                                     (SpecialDay_0.0, Browser_1, Region_1, OperatingSystems_1)
0.059205                                (SpecialDay_0.0, Browser_1, OperatingSystems_1, TrafficType_2)
0.132279                (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_1, OperatingSystems_1)
0.065288                 (SpecialDay_0.0, VisitorType_Returning_Visitor, Region_1, OperatingSystems_1)
0.053771            (SpecialDay_0.0, VisitorType_Returning_Visitor, OperatingSystems_1, TrafficType_2)
0.141687                                     (SpecialDay_0.0, Browser_2, Region_1, OperatingSystems_2)
0.065450                                     (Region_3, Browser_2, SpecialDay_0.0, OperatingSystems_2)
0.083374                                (SpecialDay_0.0, Browser_2, OperatingSystems_2, TrafficType_1)
0.135766                                (SpecialDay_0.0, Browser_2, OperatingSystems_2, TrafficType_2)
0.055799                      (SpecialDay_0.0, VisitorType_New_Visitor, Browser_2, OperatingSystems_2)
0.310300                (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2)
0.067397                                 (SpecialDay_0.0, Region_1, OperatingSystems_2, TrafficType_2)
0.154096                 (SpecialDay_0.0, VisitorType_Returning_Visitor, Region_1, OperatingSystems_2)
0.075669                 (Region_3, VisitorType_Returning_Visitor, SpecialDay_0.0, OperatingSystems_2)
0.111111            (SpecialDay_0.0, VisitorType_Returning_Visitor, OperatingSystems_2, TrafficType_1)
0.126277            (SpecialDay_0.0, VisitorType_Returning_Visitor, OperatingSystems_2, TrafficType_2)
0.058313            (SpecialDay_0.0, VisitorType_Returning_Visitor, TrafficType_3, OperatingSystems_2)
0.064558                                     (SpecialDay_0.0, Browser_2, Region_1, OperatingSystems_3)
0.153609                (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_3)
0.061233                 (SpecialDay_0.0, VisitorType_Returning_Visitor, Region_1, OperatingSystems_3)
0.063666                          (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_1, Region_1)
0.078021                                          (SpecialDay_0.0, Browser_2, Region_1, TrafficType_2)
0.191484                          (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, Region_1)
0.094079                          (Region_3, VisitorType_Returning_Visitor, Browser_2, SpecialDay_0.0)
0.120114                     (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, TrafficType_1)
0.146959                     (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, TrafficType_2)
0.067640                     (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, TrafficType_3)
0.065775                      (SpecialDay_0.0, VisitorType_Returning_Visitor, Region_1, TrafficType_1)
0.091565                      (SpecialDay_0.0, VisitorType_Returning_Visitor, Region_1, TrafficType_2)
0.054501                      (SpecialDay_0.0, VisitorType_Returning_Visitor, TrafficType_3, Region_1)
0.056448                     (Month_Mar, Browser_2, VisitorType_Returning_Visitor, OperatingSystems_2)
0.104055                     (VisitorType_Returning_Visitor, Browser_2, Month_May, OperatingSystems_2)
0.050203                     (VisitorType_Returning_Visitor, Browser_2, Month_May, OperatingSystems_3)
0.056610                               (Region_1, VisitorType_Returning_Visitor, Browser_2, Month_May)
0.086050                     (VisitorType_Returning_Visitor, Browser_2, Month_Nov, OperatingSystems_2)
0.063098                               (VisitorType_Returning_Visitor, Browser_2, Region_1, Month_Nov)
0.054988                          (VisitorType_Returning_Visitor, Browser_2, Month_Nov, TrafficType_2)
0.060908                      (VisitorType_Returning_Visitor, Browser_1, Region_1, OperatingSystems_1)
0.057421                                      (Browser_2, Region_1, OperatingSystems_2, TrafficType_2)
0.135604                      (VisitorType_Returning_Visitor, Browser_2, Region_1, OperatingSystems_2)
0.064558                      (Region_3, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2)
0.088483                 (VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2, TrafficType_1)
0.106975                 (VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2, TrafficType_2)
0.054907                  (VisitorType_Returning_Visitor, Region_1, OperatingSystems_2, TrafficType_2)
0.066748                      (VisitorType_Returning_Visitor, Browser_2, Region_1, OperatingSystems_3)
0.064396                           (VisitorType_Returning_Visitor, Browser_2, Region_1, TrafficType_2)
0.057340       (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2, Weekend)
0.056448     (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2, Month_Mar)
0.064720     (SpecialDay_0.0, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2, Month_May)
0.086050     (SpecialDay_0.0, Month_Nov, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2)
0.063098               (SpecialDay_0.0, Month_Nov, Region_1, VisitorType_Returning_Visitor, Browser_2)
0.054988          (SpecialDay_0.0, Month_Nov, TrafficType_2, VisitorType_Returning_Visitor, Browser_2)
0.054582      (SpecialDay_0.0, Region_1, OperatingSystems_1, VisitorType_Returning_Visitor, Browser_1)
0.054745                      (SpecialDay_0.0, Region_1, TrafficType_2, Browser_2, OperatingSystems_2)
0.120519      (SpecialDay_0.0, Region_1, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2)
0.056772      (SpecialDay_0.0, Region_3, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2)
0.081833 (SpecialDay_0.0, VisitorType_Returning_Visitor, TrafficType_1, Browser_2, OperatingSystems_2)
0.100162 (SpecialDay_0.0, TrafficType_2, VisitorType_Returning_Visitor, Browser_2, OperatingSystems_2)
0.051825  (SpecialDay_0.0, Region_1, TrafficType_2, VisitorType_Returning_Visitor, OperatingSystems_2)
0.057745      (SpecialDay_0.0, Region_1, VisitorType_Returning_Visitor, OperatingSystems_3, Browser_2)
0.060827           (SpecialDay_0.0, Region_1, TrafficType_2, VisitorType_Returning_Visitor, Browser_2)

Association Rules:
                                                                       antecedents                                                                        consequents  support  confidence     lift
                                                                  (SpecialDay_0.0)                                                                          (Weekend) 0.219627    0.244426 1.050829
                                                                         (Weekend)                                                                   (SpecialDay_0.0) 0.219627    0.944212 1.050829
                                                                       (Month_Nov)                                                                          (Weekend) 0.064152    0.263843 1.134302
                                                                         (Weekend)                                                                        (Month_Nov) 0.064152    0.275802 1.134302
                                                                         (Weekend)                                                               (OperatingSystems_1) 0.059935    0.257671 1.229045
                                                              (OperatingSystems_1)                                                                          (Weekend) 0.059935    0.285880 1.229045
                                                                         (Weekend)                                                               (OperatingSystems_3) 0.060989    0.262204 1.265351
                                                              (OperatingSystems_3)                                                                          (Weekend) 0.060989    0.294325 1.265351
                                                                       (Browser_1)                                                                          (Weekend) 0.057097    0.285946 1.229330
                                                                         (Weekend)                                                                        (Browser_1) 0.057097    0.245467 1.229330
                                                                         (Weekend)                                                                    (TrafficType_2) 0.081103    0.348675 1.098687
                                                                   (TrafficType_2)                                                                          (Weekend) 0.081103    0.255558 1.098687
                                                                  (SpecialDay_0.0)                                                                        (Month_Dec) 0.140065    0.155880 1.112916
                                                                       (Month_Dec)                                                                   (SpecialDay_0.0) 0.140065    1.000000 1.112916
                                                                  (SpecialDay_0.0)                                                                        (Month_Mar) 0.154663    0.172127 1.112916
                                                                       (Month_Mar)                                                                   (SpecialDay_0.0) 0.154663    1.000000 1.112916
                                                                  (SpecialDay_0.0)                                                                        (Month_Nov) 0.243147    0.270602 1.112916
                                                                       (Month_Nov)                                                                   (SpecialDay_0.0) 0.243147    1.000000 1.112916
                                                                  (SpecialDay_0.0)                                                               (OperatingSystems_1) 0.192376    0.214099 1.021214
                                                              (OperatingSystems_1)                                                                   (SpecialDay_0.0) 0.192376    0.917602 1.021214
                                                                  (SpecialDay_0.0)                                                                        (Browser_1) 0.182482    0.203087 1.017084
